loss,accuracy,val_loss,val_accuracy
0.7241482138633728,0.6397631168365479,0.6127207279205322,0.7064034342765808
0.5111687183380127,0.7664597034454346,0.5246155858039856,0.7613716125488281
0.38262712955474854,0.831577718257904,0.4985603988170624,0.7853487730026245
0.30195993185043335,0.8708290457725525,0.5040673613548279,0.7964670658111572
0.24062210321426392,0.8983907103538513,0.5216338038444519,0.7972723841667175
0.19645757973194122,0.9194905757904053,0.542850911617279,0.8041563630104065
0.16351249814033508,0.9338169693946838,0.5848082304000854,0.8035069704055786
0.13914676010608673,0.9449870586395264,0.6182422637939453,0.8041044473648071
0.1191893070936203,0.952812671661377,0.6401627659797668,0.8062605261802673
0.10484223812818527,0.9593328833580017,0.6654574871063232,0.8070398569107056
0.09440113604068756,0.9634243249893188,0.67010098695755,0.8087543845176697
0.0863189846277237,0.9672688841819763,0.6981043815612793,0.8074555397033691
0.07718231528997421,0.9707692861557007,0.7221990823745728,0.8155344724655151
0.07207886874675751,0.9726721048355103,0.7604812383651733,0.8144174814224243
0.06611909717321396,0.9749581217765808,0.7598050832748413,0.8105208277702332
0.06341613084077835,0.9757633805274963,0.7840408682823181,0.8131445646286011
0.05763323977589607,0.9785559177398682,0.7842329144477844,0.8143914937973022
0.05242600664496422,0.9808029532432556,0.8162912726402283,0.8098194599151611
0.051371313631534576,0.9809523224830627,0.8304922580718994,0.8121054768562317
0.049531739205121994,0.9818745255470276,0.8405848145484924,0.8138459324836731
0.04615192487835884,0.9827187657356262,0.8379783630371094,0.8172230124473572
0.04387938231229782,0.9838877320289612,0.8498565554618835,0.8180802464485168
0.04063171520829201,0.9851995706558228,0.8637849688529968,0.8173528909683228
0.04117320105433464,0.984894335269928,0.8532518148422241,0.8155344724655151
0.039162345230579376,0.9855242967605591,0.8636678457260132,0.8170931339263916
0.0374525785446167,0.9864010214805603,0.8883853554725647,0.817430853843689
0.035013023763895035,0.9875699877738953,0.8688775300979614,0.8184179663658142
